"communities","year","papers","results","authors","SOTA"
1,2019,2,2,9,2
2,2019,1,1,7,1
3,2017,1,1,4,1
3,2018,1,1,5,NA
4,2019,1,1,7,1
5,2016,1,1,3,1
5,2019,1,1,4,1
6,2014,1,1,2,1
6,2016,1,1,3,1
6,2017,2,2,5,1
7,2020,1,1,5,1
8,2019,1,1,5,1
9,2017,1,1,5,1
10,2019,1,1,5,1
11,2019,1,1,5,1
12,2019,1,1,4,1
13,2019,1,1,4,1
14,2020,1,1,4,1
15,2017,1,1,4,1
16,2020,1,1,3,1
17,2019,1,1,3,1
18,2019,1,1,3,1
19,2019,2,2,3,1
20,2018,1,1,2,1
21,2018,1,1,2,1
22,2020,1,1,2,1
23,2018,1,1,2,1
