"communities","year","papers","results","authors","SOTA"
1,2018,1,1,10,1
10,2016,1,1,3,1
11,2018,1,1,2,1
12,2016,1,1,2,1
13,2014,2,2,2,1
2,2016,1,1,6,1
3,2016,1,1,6,1
4,2019,1,1,5,1
5,2019,1,1,5,1
6,2014,2,2,4,1
6,2015,3,3,3,1
7,2019,1,1,3,1
8,2017,1,1,3,1
9,2016,1,1,3,1
