"author","community"
"Andrew Cunningham","3"
"Alejandro Acosta","3"
"Andrew Peter Aitken","3"
"Alykhan Tejani","3"
"Johannes Totz","3"
"Zehan Wang","3"
"Wenzhe Shi","3"
"Yuqing Liu","14"
"Xinfeng Zhang","14"
"Shanshe Wang","14"
"Siwei Ma","14"
"Wen Gao","14"
"Zheng Hui","9"
"Jie Li","9"
"Gao Xinbo","9"
"Xinbo Gao","9"
"Xiumei Wang","9"
"Zheng Hui","9"
"Jie Li","9"
"Gao Xinbo","9"
"Xinbo Gao","9"
"Xiumei Wang","9"
"Wenzhe Shi","3"
"Jose Caballero","3"
"Ferenc Huszar","3"
"Johannes Totz","3"
"Andrew Peter Aitken","3"
"Rob Bishop","3"
"Daniel Rueckert","3"
"Zehan Wang","3"
"Xintao Wang","4"
"Ke Yu","4"
"Chao Dong","4"
"Chen Change Loy","4"
"Yulun Zhang","7"
"Yapeng Tian","7"
"Yu Kong","7"
"Bineng Zhong","7"
"Yun Fu","7"
"Tao Dai","1"
"Jianrui Cai","1"
"Yongbing Zhang","1"
"Shu-Tao Xia","1"
"Lei Zhang","1"
"Xi Cheng","11"
"Xiang Li","11"
"Jian Yang","11"
"Ying Tai","11"
"Radu Timofte","29"
"Rasmus Rothe","29"
"Luc Van Gool","29"
"Ben Niu","5"
"Weilei Wen","5"
"Wenqi Ren","5"
"Xiangde Zhang","5"
"Lianping Yang","5"
"Shuzhen Wang","5"
"Kaihao Zhang","5"
"Xiaochun Cao","5"
"Haifeng Shen","5"
"Wuzhen Shi","20"
"Feng Jiang","20"
"Zhao Debin","20"
"Debin Zhao","20"
"Cheng Ma","12"
"Yongming Rao","12"
"Yean Cheng","12"
"Ce Chen","12"
"Jiwen Lu","12"
"Jie Zhou","12"
"Yunjin Chen","1"
"Thomas Pock","1"
