title,communities,metric,paper_date,communities_name
Image Super-Resolution via Dual-State Recurrent Networks@@@DSRN,2,31.40,2018-05-07,"{'Huazhong University of Science and Technology', 'University of Illinois at Urbana–Champaign', 'IBM'}"
"""Zero-Shot"" Super-Resolution using Deep Internal Learning@@@ZSSR",28,31.13,2017-12-17,{'Weizmann Institute of Science'}
Single Image Super-Resolution with Dilated Convolution based Multi-Scale Information Learning Inception Module@@@MSSRNet,20,31.10,2017-07-22,{'Harbin Institute of Technology'}
Seven ways to improve example-based single image super resolution@@@IA,29,31.10,2015-11-06,{'ETH Zurich'}
Deep Learning-based Image Super-Resolution Considering Quantitative and Perceptual Quality@@@4PP-EUSR,10,31.0846,2018-09-13,{'Yonsei University'}
Cascade Convolutional Neural Network for Image Super-Resolution@@@CSRCNN,21,31.01,2020-08-24,set()
Image Restoration Using Deep Regulated Convolutional Networks@@@RC-Net,16,31.01,2019-10-19,{'University of Florida'}
Detail-revealing Deep Video Super-resolution@@@SPMC,17,30.96,2017-04-10,"{'The Chinese University of Hong Kong', 'Adobe Systems', 'University of Toronto'}"
Learning Deep CNN Denoiser Prior for Image Restoration@@@Deep CNN Denoiser,1,30.92,2017-04-11,"{'Hong Kong Polytechnic University', 'Graz University of Technology', 'Tsinghua University', 'Harbin Institute of Technology', 'Sun Yat-sen University', ""Xi'an Jiaotong University""}"
Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration@@@TNRD,1,30.85,2015-08-12,"{'Hong Kong Polytechnic University', 'Graz University of Technology', 'Tsinghua University', 'Harbin Institute of Technology', 'Sun Yat-sen University', ""Xi'an Jiaotong University""}"
Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network@@@ESPCN,3,30.76,2016-09-16,"{'Twitter', 'Imperial College London'}"
DeepRED: Deep Image Prior Powered by RED@@@DeepRED,30,30.72,2019-03-25,"{'University of California, Santa Cruz', 'Technion – Israel Institute of Technology'}"
Image Super-Resolution Using Deep Convolutional Networks@@@SRCNN,4,30.49,2014-12-31,"{'The Chinese University of Hong Kong', 'Harbin Institute of Technology', 'Microsoft', 'Chinese Academy of Sciences'}"
Image Super-resolution via Feature-augmented Random Forest@@@FARF*,22,30.45,2017-12-14,"{'Hong Kong Polytechnic University', 'Shenzhen University', 'Guangdong University of Technology'}"
Structure-Preserving Super Resolution with Gradient Guidance@@@SPSR,12,30.40,2020-03-29,"{'Tsinghua University', 'Tencent'}"
Joint Maximum Purity Forest with Application to Image Super-Resolution@@@JMPF+,22,30.24,2017-08-30,"{'Hong Kong Polytechnic University', 'Shenzhen University', 'Guangdong University of Technology'}"
Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform@@@SFT-GAN,4,29.82,2018-04-09,"{'The Chinese University of Hong Kong', 'Harbin Institute of Technology', 'Microsoft', 'Chinese Academy of Sciences'}"
Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network@@@SRGAN,3,29.40,2016-09-15,"{'Twitter', 'Imperial College London'}"
Deep Mean-Shift Priors for Image Restoration@@@Deep Mean-Shift Priors,23,29.16,2017-09-12,"{'University of Maryland, College Park', 'University of Bern'}"
Edge-Informed Single Image Super-Resolution@@@Edge-informed SR,31,28.59,2019-09-11,{'University of Ontario Institute of Technology'}
Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network@@@bicubic,3,28.43,2016-09-15,"{'Twitter', 'Imperial College London'}"
Perceptual Losses for Real-Time Style Transfer and Super-Resolution@@@Perceptual Loss,32,27.09,2016-03-27,{'Stanford University'}
Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network@@@nearest neighbors,3,26.26,2016-09-15,"{'Twitter', 'Imperial College London'}"
Progressive Perception-Oriented Network for Single Image Super-Resolution@@@S-RFN,9,not available,2019-07-24,{'Xidian University'}
