"communities","year","papers","results","authors","SOTA"
1,2019,4,3,6,1
1,2020,1,1,5,NA
2,2020,1,1,8,1
3,2016,1,1,3,1
3,2019,3,3,6,NA
4,2013,1,1,1,1
4,2016,1,1,6,NA
5,2019,1,1,5,1
6,2020,1,1,5,1
7,2019,1,1,5,1
8,2018,2,2,5,1
9,2016,1,1,4,1
9,2019,1,1,4,NA
10,2016,1,1,5,1
11,2019,1,1,4,1
12,2019,1,1,4,1
13,2019,2,2,4,1
14,2019,1,1,3,1
15,2020,2,2,3,1
16,2018,1,1,3,1
16,2019,3,3,1,1
17,2017,1,1,3,1
18,2016,1,1,3,1
