"author","community"
"Ji Lin","5"
"Jun-Yan Zhu","5"
"Song Han","5"
"Shengyu Zhao","5"
"Zhijian Liu","5"
"Ji Lin","5"
"Jun-Yan Zhu","5"
"Song Han","5"
"Alexey Dosovitskiy","3"
"Jost Tobias Springenberg","3"
"Martin Riedmiller","3"
"Thomas Brox","3"
"Ngoc-Trung Tran","18"
"Tuan-Anh Bui","18"
"Ngai-Man Cheung","18"
"Karol Gregor","6"
"Ivo Danihelka","6"
"Alex Graves","6"
"Danilo Jimenez Rezende","6"
"Daan Wierstra","6"
"Xiaodan Liang","9"
"Lisa Lee","9"
"Wei Dai","9"
"Eric P. Xing","9"
"Arash Vahdat","7"
"William G. Macready","7"
"Zhengbing Bian","7"
"Amir H. Khoshaman","7"
"Evgeny Andriyash","7"
"Sara Sabour","2"
"Nicholas Frosst","2"
"Geoffrey E. Hinton","2"
"Han Cai","5"
"Tianyao Chen","5"
"Weinan Zhang","5"
"Yong Yu","5"
"Jun Wang","5"
"Mingxing Tan","4"
"Quoc V. Le","4"
"Bing Xu","60"
"Naiyan Wang","60"
"Tianqi Chen","60"
"Mu Li","60"
"Xiao Wang","13"
"Daisuke Kihara","13"
"Jiebo Luo","13"
"Guo-Jun Qi","13"
"Yinhao Zhu","95"
"Nicholas Zabaras","95"
"Mark D. McDonnell","31"
"Tony Vladusich","31"
"Aaron van den Oord","6"
"Benjamin Schrauwen","6"
"Xiangxiang Chu","8"
"Tianbao Zhou","8"
"Bo Zhang","8"
"Li Jixiang","8"
"Djork-Arné Clevert","3"
"Thomas Unterthiner","3"
"Sepp Hochreiter","3"
"Sungbin Lim","36"
"Ildoo Kim","36"
"Taesup Kim","36"
"Chiheon Kim","36"
"Sungwoong Kim","36"
"Yihui Xiong","61"
"Renguang Zuo","61"
"Kexin Wang","61"
"Jian Wang","61"
"Will Grathwohl","2"
"Ricky T. Q. Chen","2"
"Jesse Bettencourt","2"
"Ilya Sutskever","2"
"David Duvenaud","2"
"Will Grathwohl","2"
"Ricky T. Q. Chen","2"
"Jesse Bettencourt","2"
"Ilya Sutskever","2"
"David Duvenaud","2"
"Calvin Seward","3"
"Thomas Unterthiner","3"
"Urs Bergmann","3"
"Nikolay Jetchev","3"
"Sepp Hochreiter","3"
"Hongyi Zhang","1"
"Yann N. Dauphin","1"
"Tengyu Ma","1"
"Jonathan Ho","2"
"Xi Chen","2"
"Aravind Srinivas","2"
"Rocky Duan","2"
"Yan Duan","2"
"Pieter Abbeel","2"
"Ethan Harris","26"
"Antonia Marcu","26"
"Matthew Painter","26"
"Mahesan Niranjan","26"
"Adam Prügel-Bennett","26"
"Jonathon S. Hare","26"
"Benjamin Graham","102"
"Martin Heusel","3"
"Hubert Ramsauer","3"
"Thomas Unterthiner","3"
"Bernhard Nessler","3"
"Sepp Hochreiter","3"
"Chen-Yu Lee","11"
"Patrick W. Gallagher","11"
"Zhuowen Tu","11"
"Rewon Child","2"
"Scott Gray","2"
"Alec Radford","2"
"Ilya Sutskever","2"
"Lucas Theis","89"
"Matthias Bethge","89"
"Diederik P. Kingma","86"
"Prafulla Dhariwal","86"
"Yang Song","67"
"Stefano Ermon","67"
"Ming-Yu Liu","88"
"Oncel Tuzel","88"
"Diederik P. Kingma","86"
"Prafulla Dhariwal","86"
"Yanping Huang","4"
"Youlong Cheng","4"
"Ankur Bapna","4"
"Orhan Firat","4"
"Mia Xu Chen","4"
"Dehao Chen","4"
"HyoukJoong Lee","4"
"Jiquan Ngiam","4"
"Quoc V. Le","4"
"Yonghui Wu","4"
"Zhifeng Chen","4"
"Saharon Rosset","65"
"Ji Zhu","65"
"Trevor Hastie","65"
"Qianli Liao","80"
"Joel Z. Leibo","80"
"Tomaso Poggio","80"
"Kaiming He","57"
"Xiangyu Zhang","57"
"Shaoqing Ren","57"
"Jian Sun","57"
"Shibani Santurkar","19"
"Andrew Ilyas","19"
"Dimitris Tsipras","19"
"Logan Engstrom","19"
"Brandon Tran","19"
"Aleksander Madry","19"
"Aleksander Madry","19"
"Ashish Vaswani","3"
"Niki Parmar","3"
"Jakob Uszkoreit","3"
"Noam Shazeer","3"
"Lukasz Kaiser","3"
"Alex Krizhevsky","2"
"Ilya Sutskever","2"
"Geoffrey E. Hinton","2"
"Tim Salimans","2"
"Ian Goodfellow","2"
"Wojciech Zaremba","2"
"Vicki Cheung","2"
"Alec Radford","2"
"Xi Chen","2"
"Yang Song","67"
"Stefano Ermon","67"
"Ishaan Gulrajani","1"
"Faruk Ahmed","1"
"Martin Arjovsky","1"
"Vincent Dumoulin","1"
"Aaron Courville","1"
"Durk P. Kingma","2"
"Durk Kingma","2"
"Tim Salimans","2"
"Rafal Jozefowicz","2"
"Xi Chen","2"
"Ilya Sutskever","2"
"Max Welling","2"
"Jost Tobias Springenberg","3"
"Martin Riedmiller","3"
"Yue Wu","9"
"Pan Zhou","9"
"Andrew Gordon Wilson","9"
"Eric P. Xing","9"
"Zhiting Hu","9"
"Wei Wang","64"
"Yuan Sun","64"
"Saman K. Halgamuge","64"
"Geoffrey E. Hinton","2"
"Nitish Srivastava","2"
"Alex Krizhevsky","2"
"Ilya Sutskever","2"
"Ruslan Salakhutdinov","2"
"Tian Qi Chen","2"
"Ricky T. Q. Chen","2"
"Jens Behrmann","2"
"David Duvenaud","2"
"Joern-Henrik Jacobsen","2"
"Jörn-Henrik Jacobsen","2"
"Jianwei Yang","49"
"Devi Parikh","49"
"Dhruv Batra","49"
"Esteban Real","4"
"Sherry Moore","4"
"Andrew Selle","4"
"Saurabh Saxena","4"
"Yutaka Leon Suematsu","4"
"Jie Tan","4"
"Quoc V. Le","4"
"Alexey Kurakin","4"
"Esteban Real","4"
"Sherry Moore","4"
"Andrew Selle","4"
"Saurabh Saxena","4"
"Yutaka Leon Suematsu","4"
"Jie Tan","4"
"Quoc V. Le","4"
"Alexey Kurakin","4"
"Andrew Brock","63"
"Jeff Donahue","63"
"Karen Simonyan","63"
"Forest Agostinelli","58"
"Matthew D. Hoffman","58"
"Peter Sadowski","58"
"Pierre Baldi","58"
"Yaodong Yu","16"
