institution,counter
Google,28
Université de Montréal,17
Stanford University,17
OpenAI,2
"University of California, Berkeley",2
University of Edinburgh,2
Carnegie Mellon University,24
University of Michigan,1
University of Cambridge,24
University of Alberta,24
Australian National University,2
Microsoft,1
Duke University,1
"University of California, Santa Barbara",1
University of York,1
University of Toulouse,1
Xiaomi,1
