"communities","year","papers","results","authors","SOTA"
"1",2012,1,1,4,1
"1",2015,5,5,11,2
"1",2018,3,3,11,1
"1",2020,1,1,4,NA
"1+2+3",2015,1,1,12,1
"10",2015,1,1,3,1
"11",2018,1,1,1,1
"2",2016,1,1,4,1
"2",2017,1,1,12,NA
"2",2018,1,1,13,NA
"2",2020,1,1,7,1
"2+1",2015,2,2,5,1
"2+1",2016,5,5,14,2
"2+1",2017,2,2,6,1
"2+1",2018,1,1,4,NA
"2+1",2019,2,2,17,NA
"4",2018,2,2,8,2
"5",2018,1,1,8,1
"6+1",2018,1,1,7,1
"7",2019,1,1,5,1
"7",2020,1,1,5,1
"9",2018,1,1,4,1
