"author","community"
"Jacob Nelson",10
"Luis Ceze",10
"Arvind Krishnamurthy",10
"Kishore Atreya",10
"Kishore Badari Atreya",10
"Xuanyi Dong",66
"Yi Yang",66
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Catherine Wong",4
"Neil Houlsby",4
"Yifeng Lu",4
"Andrea Gesmundo",4
"Zhibin Liao",62
"Gustavo Carneiro",62
"Aristotelis-Angelos Papadopoulos",43
"Mohammad Reza Rajati",43
"Nazim Shaikh",43
"Jiamian Wang",43
"Janghyun Kim",31
"Jang Hyun Kim",31
"Wonho Choo",31
"Hyun Oh Song",31
"Yaowei Zheng",52
"Richong Zhang",52
"Yongyi Mao",52
"Shanghua Gao",15
"Ming-Ming Cheng",15
"Kai Zhao",15
"Xin-Yu Zhang",15
"Ming-Hsuan Yang",15
"Philip H. S. Torr",15
"Ekin D. Cubuk",1
"Barret Zoph",1
"Dandelion Mane",1
"Vijay K. Vasudevan",1
"Quoc V. Le",1
"Daniel Haase",60
"Manuel Amthor",60
"Jasper Snoek",5
"Oren Rippel",5
"Kevin Swersky",5
"Ryan Kiros",5
"Nadathur Satish",5
"Narayanan Sundaram",5
"Md. Mostofa Ali Patwary",5
"Prabhat",5
"Ryan P. Adams",5
"Wouter Van Gansbeke",20
"Simon Vandenhende",20
"Stamatios Georgoulis",20
"Marc Proesmans",20
"Luc Van Gool",20
"Wouter Van Gansbeke",20
"Simon Vandenhende",20
"Stamatios Georgoulis",20
"Marc Proesmans",20
"Luc Van Gool",20
"Ngoc-Trung Tran",11
"Viet-Hung Tran",11
"Bao-Ngoc Nguyen",11
"Ngoc-Bao Nguyen",11
"Linxiao Yang",11
"Ngai-Man Cheung",11
"Pierre Foret",29
"Ariel Kleiner",29
"Hossein Mobahi",29
"Behnam Neyshabur",29
"Pierre Foret",29
"Ariel Kleiner",29
"Hossein Mobahi",29
"Behnam Neyshabur",29
