"communities","year","papers","results","authors","SOTA"
"1",2016,1,1,2,1
"1",2017,2,2,9,1
"1",2018,2,2,16,1
"10",2016,2,2,5,1
"11",2020,2,2,4,1
"12",2019,1,1,4,1
"13",2018,1,1,4,1
"14",2017,1,1,3,1
"15",2018,1,1,3,1
"16",2020,1,1,2,1
"2",2016,1,1,4,1
"2",2017,3,3,10,1
"2",2018,5,5,8,2
"2",2019,1,1,5,NA
"3",2014,4,4,5,3
"3",2019,2,2,3,1
"3+1",2016,1,1,13,1
"3+1",2017,1,1,7,1
"4",2020,1,1,8,1
"5+1",2019,1,1,9,1
"6",2019,1,1,8,1
"7",2014,2,2,7,2
"8",2020,1,1,6,1
"9",2019,1,1,5,1
