"communities","year","papers","results","authors","SOTA"
1,2017,1,1,5,1
1,2019,2,2,14,1
2,2018,3,3,9,1
3,2019,1,1,8,1
4,2017,2,2,8,2
5,2015,1,1,7,1
5,2016,1,1,5,1
6,2019,1,1,5,1
7,2017,1,1,5,1
8,2014,1,1,5,1
9,2016,2,1,2,1
9,2019,1,1,4,NA
9,2020,1,1,4,1
10,2018,1,1,4,1
11,2018,1,1,4,1
12,2016,1,1,4,1
13,2016,1,1,4,1
14,2018,1,1,3,1
15,2017,1,1,3,1
16,2017,1,1,3,1
17,2020,3,3,3,1
18,2018,1,1,3,1
19,2016,1,1,3,1
20,2019,1,1,3,1
21,2020,1,1,2,1
