"communities","year","papers","results","authors","SOTA"
1,2019,2,2,8,2
10,2018,1,1,3,1
11,2019,1,1,3,1
12,2019,2,2,2,1
13,2019,1,1,2,1
14,2018,1,1,2,1
15,2015,1,1,2,1
16,2019,1,1,2,1
2,2019,1,1,7,1
3,2019,1,1,6,1
4,2018,1,1,4,1
5,2017,2,2,4,1
6,2018,1,1,4,1
7,2020,1,1,3,1
8,2019,2,2,3,1
9,2019,1,1,3,1
