"title","authors","affiliations","paper_date","metric","year"
"GRN: Gated Relation Network to Enhance Convolutional Neural Network for Named Entity Recognition@@@GRN","Jian-Guang Lou","Microsoft",2019-07-12,"87.67",2019
"GRN: Gated Relation Network to Enhance Convolutional Neural Network for Named Entity Recognition@@@GRN","Yusen Zhang","Beijing Institute of Technology",2019-07-12,"87.67",2019
"GRN: Gated Relation Network to Enhance Convolutional Neural Network for Named Entity Recognition@@@GRN","Börje F. Karlsson","Microsoft",2019-07-12,"87.67",2019
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@BiLSTM-CRF","Emma Strubell","University of Maine",2017-02-07,"86.99",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@BiLSTM-CRF","Patrick Verga","University of Massachusetts Amherst",2017-02-07,"86.99",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@BiLSTM-CRF","David Belanger","University of Massachusetts Amherst",2017-02-07,"86.99",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@BiLSTM-CRF","Andrew McCallum","University of Massachusetts Amherst",2017-02-07,"86.99",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@Iterated Dilated CNN","Emma Strubell","University of Maine",2017-02-07,"86.84",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@Iterated Dilated CNN","Patrick Verga","University of Massachusetts Amherst",2017-02-07,"86.84",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@Iterated Dilated CNN","David Belanger","University of Massachusetts Amherst",2017-02-07,"86.84",2017
"Fast and Accurate Entity Recognition with Iterated Dilated Convolutions@@@Iterated Dilated CNN","Andrew McCallum","University of Massachusetts Amherst",2017-02-07,"86.84",2017
"Named Entity Recognition with Bidirectional LSTM-CNNs@@@Chiu and Nichols (2016)","Fabrice Dugas","",2015-11-26,"86.19",2015
"Named Entity Recognition with Bidirectional LSTM-CNNs@@@Chiu and Nichols (2016)","Eric Nichols","Tohoku University",2015-11-26,"86.19",2015
"Learning to Denoise Distantly-Labeled Data for Entity Typing@@@ELMo (distant denoising data)","Yasumasa Onoe","University of Texas at Austin",2019-05-04,"40.2",2019
"Learning to Denoise Distantly-Labeled Data for Entity Typing@@@ELMo (distant denoising data)","Greg Durrett","University of Texas at Austin",2019-05-04,"40.2",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Wenhan Xiong","University of California, Santa Barbara",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Jiawei Wu","University of California, Santa Barbara",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Deren Lei","",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Mo Yu","IBM",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Shiyu Chang","IBM",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","Xiaoxiao Guo","IBM",2019-03-06,"36.9",2019
"Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing@@@LabelGCN Xiong et al. (2019)","William Yang Wang","University of California, Santa Barbara",2019-03-06,"36.9",2019
"Ultra-Fine Entity Typing@@@Choi et al. (2018) w augmentation","Eunsol Choi","University of Washington",2018-07-13,"32.0",2018
"Ultra-Fine Entity Typing@@@Choi et al. (2018) w augmentation","Omer Levy","University of Washington",2018-07-13,"32.0",2018
"Ultra-Fine Entity Typing@@@Choi et al. (2018) w augmentation","Yejin Choi","University of Washington",2018-07-13,"32.0",2018
"Ultra-Fine Entity Typing@@@Choi et al. (2018) w augmentation","Luke Zettlemoyer","University of Washington",2018-07-13,"32.0",2018
