"author","community"
"Georg Ostrovski","2+1"
"John Quan","2+1"
"Rémi Munos","2+1"
"Will Dabney","2+1"
"Xin Wang","4"
"Qiuyuan Huang","4"
"Asli Celikyilmaz","4"
"Jianfeng Gao","4"
"Dinghan Shen","4"
"Yuan-Fang Wang","4"
"William Yang Wang","4"
"Lei Zhang","4"
"Petros Christodoulou","15"
"Marc G. Bellemare","2"
"Yavar Naddaf","2"
"Joel Veness","2"
"Michael Bowling","2"
"Marc G. Bellemare","2"
"Yavar Naddaf","2"
"Joel Veness","2"
"Michael Bowling","2"
