"author","community"
"Serge Belongie",1
"Chenchen Zhu",19
"Yihui He",19
"Marios Savvides",19
"Chenchen Zhu",19
"Yihui He",19
"Marios Savvides",19
"Chenchen Zhu",19
"Yihui He",19
"Marios Savvides",19
"Chenchen Zhu",19
"Yihui He",19
"Marios Savvides",19
"Tao Kong",5
"Sun Fuchun",5
"Fuchun Sun",5
"Liu Huaping",5
"Huaping Liu",5
"Yuning Jiang",5
"Jianbo Shi",5
"Lei Li",5
"Tao Kong",5
"Sun Fuchun",5
"Fuchun Sun",5
"Liu Huaping",5
"Huaping Liu",5
"Yuning Jiang",5
"Jianbo Shi",5
"Lei Li",5
"Tao Kong",5
"Sun Fuchun",5
"Fuchun Sun",5
"Liu Huaping",5
"Huaping Liu",5
"Yuning Jiang",5
"Jianbo Shi",5
"Lei Li",5
"Tao Kong",5
"Sun Fuchun",5
"Fuchun Sun",5
"Liu Huaping",5
"Huaping Liu",5
"Yuning Jiang",5
"Jianbo Shi",5
"Lei Li",5
"Yue Cao",4
"Jiarui Xu",4
"Stephen Lin",4
"Fangyun Wei",4
"Han Hu",4
"Yue Cao",4
"Jiarui Xu",4
"Stephen Lin",4
"Fangyun Wei",4
"Han Hu",4
"Yue Cao",4
"Jiarui Xu",4
"Stephen Lin",4
"Fangyun Wei",4
"Han Hu",4
"Kemal Oksuz",12
"Baris Can Cam",12
"Emre Akbas",12
"Sinan Kalkan",12
"Buyu Li",6
"Yu Liu",6
"Xiaogang Wang",6
"Xin Lu",6
"Buyu Li",6
"Yuxin Yue",6
"Quanquan Li",6
"Junjie Yan",6
"Xin Lu",6
"Buyu Li",6
"Yuxin Yue",6
"Quanquan Li",6
"Junjie Yan",6
"Yuxin Wu",1
"Kaiming He",1
"Yuxin Wu",1
"Kaiming He",1
"Yuxin Wu",1
"Kaiming He",1
"Nermin Samet",12
"Samet Hicsonmez",12
"Emre Akbas",12
"Nermin Samet",12
"Samet Hicsonmez",12
"Emre Akbas",12
"Kai Chen",1
"Wanli Ouyang",1
"Chen Change Loy",1
"Dahua Lin",1
"Jiangmiao Pang",1
"Jiaqi Wang",1
"Yu Xiong",1
"Ziwei Liu",1
"Xiaoxiao Li",1
"Shuyang Sun",1
"Jianping Shi",1
"Wansen Feng",1
"Kai Chen",1
"Wanli Ouyang",1
"Chen Change Loy",1
"Dahua Lin",1
"Jiangmiao Pang",1
"Jiaqi Wang",1
"Yu Xiong",1
"Ziwei Liu",1
"Xiaoxiao Li",1
"Shuyang Sun",1
"Jianping Shi",1
"Wansen Feng",1
"Jiangmiao Pang",1
"Kai Chen",1
"Jianping Shi",1
"Huajun Feng",1
"Wanli Ouyang",1
"Dahua Lin",1
"Ziteng Gao",18
"Limin Wang",18
"Gangshan Wu",18
"Qijie Zhao",7
"Tao Sheng",7
"Yongtao Wang",7
"Zhi Tang",7
"Ling Cai",7
"Ying Chen",7
"Haibin Ling",7
"Qijie Zhao",7
"Tao Sheng",7
"Yongtao Wang",7
"Zhi Tang",7
"Ling Cai",7
"Ying Chen",7
"Haibin Ling",7
"Kaiming He",1
"Georgia Gkioxari",1
"Piotr Dollar",1
"Ross Girshick",1
"Kaiming He",1
"Georgia Gkioxari",1
"Piotr Dollar",1
"Ross Girshick",1
"Kaiming He",1
"Georgia Gkioxari",1
