"author","community"
"Zhuang Liu","2"
"Laurens van der Maaten","2"
"Kilian Q. Weinberger","2"
"Gao Huang","2"
"Zhuang Liu","2"
"Laurens van der Maaten","2"
"Kilian Q. Weinberger","2"
"Jiemin Fang","27"
"Yuzhu Sun","27"
"Qian Zhang","27"
"Yuan Li","27"
"Wenyu Liu","27"
"Xinggang Wang","27"
"Ilija Radosavovic","2"
"Justin Johnson","2"
"Saining Xie","2"
"Wan-Yen Lo","2"
"Piotr Dollar","2"
"Ilija Radosavovic","2"
"Justin Johnson","2"
"Saining Xie","2"
"Wan-Yen Lo","2"
"Piotr Dollar","2"
"Ilija Radosavovic","2"
"Justin Johnson","2"
"Saining Xie","2"
"Wan-Yen Lo","2"
"Piotr Dollar","2"
"Ilija Radosavovic","2"
"Justin Johnson","2"
"Saining Xie","2"
"Wan-Yen Lo","2"
"Piotr Dollar","2"
"Ilija Radosavovic","2"
"Justin Johnson","2"
"Saining Xie","2"
"Wan-Yen Lo","2"
"Piotr Dollar","2"
"Sachin Mehta","13"
"Hannaneh Hajishirzi","13"
"Mohammad Rastegari","13"
"Yunpeng Chen","10"
"Haoqi Fan","10"
"Bing Xu","10"
"Zhicheng Yan","10"
"Yannis Kalantidis","10"
"Marcus Rohrbach","10"
"Shuicheng Yan","10"
"Yan Shuicheng","10"
"Jiashi Feng","10"
"Yunpeng Chen","10+2"
"Jianan Li","10+2"
"Huaxin Xiao","10+2"
"Xiaojie Jin","10+2"
"Shuicheng Yan","10+2"
"Jiashi Feng","10+2"
"Yunpeng Chen","10+2"
"Jianan Li","10+2"
"Huaxin Xiao","10+2"
"Xiaojie Jin","10+2"
"Shuicheng Yan","10+2"
"Jiashi Feng","10+2"
"Yunpeng Chen","10+2"
"Jianan Li","10+2"
"Huaxin Xiao","10+2"
"Xiaojie Jin","10+2"
"Shuicheng Yan","10+2"
"Jiashi Feng","10+2"
"Yunpeng Chen","10+2"
"Jianan Li","10+2"
"Huaxin Xiao","10+2"
"Xiaojie Jin","10+2"
